ハンドメイド,作る
バンジージャンプ,アウトドア
ネコ飼育,育てる
ボールペンイラスト,遊ぶ・特技
俳句,芸術・鑑賞
キャンプ,アウトドア
ボランティア活動,その他
聖地巡礼,旅行・出かける
VR（バーチャルリアリティ）,遊ぶ・特技
サイクリング,アウトドア
ハムスター飼育,育てる
資格取得,学ぶ
博物館めぐり,旅行・出かける
骨董品集め,集める
フルート,音楽
似顔絵,遊ぶ・特技
マジック,遊ぶ・特技
吹きガラス,作る
生け花,芸術・鑑賞
プラモデル,作る
ウクレレ,音楽
英語,学ぶ
組紐,作る
TOEIC,学ぶ
ワインエキスパート,学ぶ
ドライフラワー,作る
ファイナンシャルプランナー,学ぶ
クラシックバレエ,踊る・ダンス
寺社仏閣めぐり,旅行・出かける
アーチェリー,スポーツ
離島めぐり,旅行・出かける
昆虫飼育,育てる
自作PC,作る
タロット占い,遊ぶ・特技
ビリヤード,遊ぶ・特技
苔栽培・観賞,観戦・観賞
読書,学ぶ
水泳,スポーツ
スイーツデコ,作る
油絵,芸術・鑑賞
ワイヤーアクセサリー,作る
デッサン,芸術・鑑賞
手相,遊ぶ・特技
レジンアクセサリー,作る
ギャラリー巡り,芸術・鑑賞
ペーパークラフト,作る
小鳥飼育,育てる
ジョギング,美容・ライフ
ヨガ,美容・ライフ
水族館めぐり,旅行・出かける
バーめぐり,グルメ・料理
人狼ゲーム,考える・ゲーム
カルトナージュ,作る
3DCG制作,作る
バックギャモン,考える・ゲーム
チェス,考える・ゲーム
郷土史研究,学ぶ
ドールハウス,遊ぶ・特技
ヨーロッパ旅行,旅行・出かける
釣り堀,アウトドア
古地図,旅行・出かける
テニス,スポーツ
オーブン陶芸,作る
ポルトガル語,学ぶ
北欧雑貨,集める
飛行機,旅行・出かける
ゲーム実況,遊ぶ・特技
ライブハウス,音楽
ゲーム制作,作る
マンドリン,音楽
乗馬,スポーツ
行政書士,学ぶ
お灸,美容・ライフ
ヒッチハイク,旅行・出かける
歌舞伎鑑賞,芸術・鑑賞
スプラウト栽培,育てる
万華鏡,集める
体幹トレーニング,美容・ライフ
合気道,スポーツ
アファメーション,美容・ライフ
鍋料理,グルメ・料理
短歌,芸術・鑑賞
バドミントン,スポーツ
熱帯魚飼育,育てる
水中ウォーキング,美容・ライフ
ドイツ語,学ぶ
シダ植物観賞,観戦・観賞
海釣り,アウトドア
インコ飼育,育てる
動物園めぐり,旅行・出かける
刺繍,作る
金魚飼育,育てる
切手収集,集める
小説執筆,その他
貯金,美容・ライフ
自衛隊航空祭,旅行・出かける
イチゴ狩り,旅行・出かける
スケッチ,芸術・鑑賞
フェルト小物作り,作る
御朱印集め,集める
登山,アウトドア
古民家カフェ巡り,旅行・出かける
パワースポット巡り,旅行・出かける
ラテアート,グルメ・料理
花火鑑賞,観戦・観賞
消しゴムはんこ,作る
ポールダンス,踊る・ダンス
フランス語,学ぶ
ワーキングホリデー,学ぶ
ボウリング,遊ぶ・特技
ピクルス作り,グルメ・料理
クレイアート,作る
カリグラフィー,芸術・鑑賞
節約,美容・ライフ
犬飼育,育てる
ボルダリング,スポーツ
世界遺産めぐり,旅行・出かける
紅茶,グルメ・料理
将棋,考える・ゲーム
鉄道模型,遊ぶ・特技
草野球,スポーツ
スーパー戦隊,観戦・観賞
日本舞踊,芸術・鑑賞
スキー,スポーツ
日本画,芸術・鑑賞
ロシア語,学ぶ
フィギュアスケート,スポーツ
パステルアート,芸術・鑑賞
グランピング,アウトドア
中華まん作り,グルメ・料理
ポケモンGO,遊ぶ・特技
宝塚歌劇鑑賞,芸術・鑑賞
スケートボード,スポーツ
文房具集め,集める
銅版画（エッチング）,芸術・鑑賞
プロレス観戦,観戦・観賞
野草茶作り,グルメ・料理
インド舞踊,踊る・ダンス
電子ピアノ,音楽
盆栽,観戦・観賞
女子旅,旅行・出かける
ヒンディー語,学ぶ
スノーボード,スポーツ
中国語,学ぶ
トールペイント,作る
競輪,遊ぶ・特技
金継ぎ,作る
ピアノ,音楽
猫カフェ,遊ぶ・特技
お香,美容・ライフ
ギター,音楽
スペイン語,学ぶ
アロマテラピー,美容・ライフ
バイオリン,音楽
カラーセラピー,美容・ライフ
三線,音楽
アラビア語,学ぶ
ドラム,音楽
布ぞうり作り,作る
ナイトハイク,アウトドア
